Unnamed: 0.1,Unnamed: 0,filename,url,description,type,filepath,scraped,old_filename,old_filepath,height,width,channels,landscape,text,lang_code,lang_conf
0,0,img_0000000.jpg,https://templates.invoicehome.com/modele-facture-fr-pur-750px.png,100 modèles gratuits de factures | Téléchargement PDF gratuit,facture,./final/img_0000000.jpg,1,img_0000000.jpg,./facture/img_0000000.jpg,1061.0,750.0,3.0,0.0, FACTURE LOGO Joanna Binet 48 Coubertin 31400 Paris FACTURE A Cendrillon Ayot 69 rue Nations 22000 Paris ENVOYE A Cendrillon Ayot 46 Rue St Ferréol 92360 lle-de-France FACTURE No DATE COMMANDE No ÉCHÉANCE PRIX UNIT. HT 100.00 15.00 5.00 Total HT TVA: 20.0% TOTAL FR-001 29/01/2019 1630/2019 24/05/2019 MONTANT HT 100.00 30.00 15.00 145.00 29.00 174.00€ QTÉ 1 2 3 DESIGNATION Grand brun escargot pour manger Petit marinière uniforme en bleu Facile à jouer accordéon Buncht CONDITIONS ET MODALITÉS DE PAIEMENT Le paiement est dû dans 15 jours Caisse d'Epargne IBAN: FR12 1234 5678 SWIFT/BIC: ABCDFRP1XXX Merci,fr,0.704567015171051
1,1,img_0000001.jpg,https://templates.invoicehome.com/modele-facture-fr-classique-blanc-750px.png,100 modèles gratuits de factures | Téléchargement PDF gratuit,facture,./final/img_0000001.jpg,1,img_0000001.jpg,./facture/img_0000001.jpg,1061.0,750.0,3.0,0.0, Joanna Binet 48 Coubertin 31400 Paris FACTURE Facturé à Cendrillon Ayot 69 rue Nations 22000 Paris Envoyé à Cendrillon Ayot 46 Rue St Ferréol 92360 ile-de-France Facture no Date Commande no Echéance FR-001 29/01/2019 1630/2019 24/05/2019 QTÉ 1 2 3 DÉSIGNATION PRIX UNIT. HT MONTANT HT Grand brun escargot pour manger Petit marinière uniforme en bleu Facile à jouer accordéon 100.00 15.00 5.00 Total HT TVA: 20.0% TOTAL 100.00 30.00 15.00 145.00 29.00 174.00 € Bemohat Conditions et modalités de paiement Le paiement est dû dans 15 jours Caisse d'Epargne IBAN: FR12 12345 5678 SWIFT/BIC: ABCDFRP1XXX,fr,0.7980474233627319
2,2,img_0000002.jpg,https://www.coover.fr/wp-content/uploads/2021/02/modele-facture-proforma-726x1024.png,Facture proforma : modèle à télécharger gratuitement (Mise à jour 2022),facture,./final/img_0000002.jpg,1,img_0000002.jpg,./facture/img_0000002.jpg,1024.0,726.0,3.0,0.0," FACTURE Mon entreprise : Nom de la société Adresse postale Adresse mail Téléphone Facture n' Date Commande n"" Echéance Facturé à : Nom Adresse Envoyé à : Nom Adresse Quantité Désignation Prix unitaire HT Montant HT Total HT: TVA: 20% : Total : Signature",fr,0.985556960105896
3,3,img_0000003.jpg,https://templates.invoicehome.com/modele-facture-fr-bande-bleu-750px.png,100 modèles gratuits de factures | Téléchargement PDF gratuit,facture,./final/img_0000003.jpg,1,img_0000003.jpg,./facture/img_0000003.jpg,1061.0,750.0,3.0,0.0, Joanna Binet 48 Coubertin 31400 Paris FACTURE À Cendrillon Ayot 69 rue Nations 22000 Paris ENVOYE À Cendrillon Ayot 46 Rue St Ferréol 92360 lle-de-France FACTURE No DATE COMMANDE No ÉCHÉANCE FR-001 29/01/2019 1630/2019 24/05/2019 Total de la facture 174.00 - € QTÉ 1 2 3 DESIGNATION PRIX UNIT. HT MONTANT HT Grand brun escargot pour manger Petit marinière unitorme en bleu Facile à jouer accordéon 100.00 15.00 5.00 Total HT TVA20.0% 100.00 30.00 15.00 145.00 29.00 Bunchat CONDITIONS ET MODALITES DE PAIEMENT Le paiement est dû dans 15 jours Caisse d'Epargne IBAN: FR12 1234 5678 SWIFT/BIC: ABCDFRP1XXX,fr,0.7382644414901733
4,4,img_0000004.jpg,https://files.intum.com/v/vosfactures/files/31596/facture-regrouper-ex.png,Base de Connaissances - Vos Factures - Créer une Facture Groupée,facture,./final/img_0000004.jpg,1,img_0000004.jpg,./facture/img_0000004.jpg,771.0,773.0,3.0,1.0," Payer en ligne > FACTURE No SFIDELI F/05.2020/099 Date de création: 18/05/2020 Date limite de validité: 18/06/2020 VENDEUR: FIDELI 32 Rue du Commerce 75018 Paris, France Numéro TVA FR5213/19114 info@fideli.fr Telephone: 33.1.6/.86.34.67 ACHETEUR: M. & Mme Dupont 13 rue du Paradis 75014 Paris, France Travaux Salle de bain et Toilettes Montant TVA No Designation Qté PUHT TotalHT TVA TotalTTC Devis no D/016- -1 18/05/2020 2h 1.5L Service 1 Description du Service 1 2 Produit 1 Description du Produit 1 50,00 18,00 100,00 10% 27,00 20% 10,00 5,40 110,00 32,40 Devis no D/017 - 18/05/2020 2h 1pc 1h 1pc 3 Service 1 4 Produit 1 5 Service 2 6 Produit 2 50,00 300,00 35,00 250,00 TOTAL: 100,00 10% 300,00 20% 35,00 20% 250,00 20% 812,00 10,00 60,00 7,00 50,00 142,40 Total HT 110,00 360,00 42,00 300,00 954,40 812,00 122,40 20,00 954,40 Description du Service 1 Description du Produit 1 Montant TVA (20%) Montant TVA (10%) Total TTC",fr,0.5756260752677917
5,5,img_0000005.jpg,https://templates.invoicehome.com/modele-facture-fr-cool-vagues-750px.png,100 modèles gratuits de factures | Téléchargement PDF gratuit,facture,./final/img_0000005.jpg,1,img_0000005.jpg,./facture/img_0000005.jpg,1061.0,750.0,3.0,0.0, Joanna Binet 48 Coubertin 31400 Paris Facturé à Cendrillon Ayot 69 rue Nations 22000 Paris Qté 1 2 3 LOGO Envoyé à Cendrillon Ayot 46 Rue St Ferréol 92360 lle-de-France Désignation Facture no Date Commande no Échéance Prix Unit. HT 100.00 15.00 5.00 Total HT TVA 20.0% FR-001 29/01/2019 1630/2019 24/05/2019 Montant HT 100.00 30.00 15.00 145.00 29.00 174.00 € Grand brun escargot pour manger Petit marinière uniforme en bleu Facile à jouer accordéon Total de la facture Brunbnt Conditions et modalités de paiement Le paiement est dû dans 15 jours Caisse d'Epargne IBAN: FR12 1234: 5678 SWIFT/BIC: ABCDFRP1XXX,fr,0.8226860761642456
6,6,img_0000006.jpg,https://binaries.templates.cdn.office.net/support/templates/fr-ca/lw34016625.png,Facture de service simple,facture,./final/img_0000006.jpg,1,img_0000006.jpg,./facture/img_0000006.jpg,382.0,498.0,3.0,1.0," [Nom de l'entreprise] FACTURE (Adresse] [Ville Province), Code postal) Tekephone:000000000 N' DEFACTURE 2034 DAVE 2018-02-21 FACTUREA A (Nom) RÉF.CLIENT 564 CONDITIONS Paiement à réception (Nom de 'entreprise) [Adresse) (ville Province), Code postal) (N'deté téléphone) (Adresse de courriel) DESCHOPTION Frais de: service QTE PRIX UNIAIRE MONTANT - D 200.00 75.00 (50.00) 200.00 375.00 (50.00) Main-d'ceuvre:5heures a 7551 - Theure Remise nouveauclient",fr,0.7119448184967041
7,7,img_0000007.jpg,https://binaries.templates.cdn.office.net/support/templates/fr-fr/lt02927858_quantized.png,Factures - Office.com,facture,./final/img_0000007.jpg,1,img_0000007.jpg,./facture/img_0000007.jpg,600.0,462.0,3.0,0.0," IVOTRE SOCIETE] (Choisir une dato) No DE LA FACTURE1234 Facturer a Client N ref client Adresse Telephone Vendeur wodalite de paiement Adresse de Iraison Destinataire Adresse Teléphone Nom du dient Entreprisel Ref cient Adressel (Vide, Pays, Code posta reephonel (Nom du vendeurt Modantel Nom dur destinatare) Entreprise) Adresse) Vie, Pays, Code postal nreephonel Date de paiement (Choisir une datel Date de vraison (Choisir une datel Mode de Ivraison Mode de lraison) Modalite de Irvraison Modaiel Total de lal igne (avant remise) duantse. N darticle Description Prix unitaire Remise Total de la a sous-ol Tares ventes Total Nous vous romercions de votre confiance. Addresse. Code postal, Vilel I Adresse wobl PI (reephonel I relecopel I Adresse de messagene) Votre societe)",fr,0.8808885812759399
8,8,img_0000008.jpg,https://mk0independanti6lhsy.kinstacdn.com/wp-content/uploads/exemple-facture-945x1024.png,Modèle Facture | 100% GRATUIT | Format Excel ou Word à Télécharger,facture,./final/img_0000008.jpg,1,img_0000008.jpg,./facture/img_0000008.jpg,1024.0,945.0,3.0,0.0," Identification du vendeur Nom: : independant Adresse: 321 rue du modèle Numéro de SIREN :1 123456789 Numéro de téléphone: :0472202020 Enregistré au RCS/RM de Paris Client Nom: ETS CLIENT ABC Adresse: 32 rue du Client Fidèle Forme juridique : SAS Numéro de TVA:FR12314428789 Facture N000001 Date: : 23/02/2024 Désignation des produits ou prestations Quantité Prix Unitaire HT Total HT 800,00€ 600,00€ 400,00€ Conseil en stratégie Optimisation des comptes Facebook Ads Création d'annonces 4,00 2,00 4,00 200,00€ 300,00€ 100,00€ TOTAL HT Montant de TVA TOTAL TTC 1800,00€ 20% 2160,00€",fr,0.93195641040802
9,9,img_0000009.jpg,https://templates.invoicehome.com/modele-facture-fr-dexter-750px.png,100 modèles gratuits de factures | Téléchargement PDF gratuit,facture,./final/img_0000009.jpg,1,img_0000009.jpg,./facture/img_0000009.jpg,1061.0,750.0,3.0,0.0, FACTURE Joanna Binet 48 Coubertin 31400 Paris FACTURE À Cendrillon Ayot 69 rue Nations 22000 Paris ENVOYE À Cendrillon Ayot 46 Rue St Ferréol 92360 Ile-de-France FACTURE No DATE COMMANDE No ECHÉANCE PRIX UNIT. HT 100.00 15.00 5.00 Total HT TVA 20.0% TOTAL FR-001 29/01/2019 1630/2019 24/05/2019 MONTANT HT 100.00 30.00 15.00 145.00 29.00 174.00 € QTÉ 1 2 3 DESIGNATION Grand brun escargot pour manger Petit marinière uniforme en bleu Facile à jouer accordéon Bradhedt CONDITIONS ETI MODALITES DE PAIEMENT Le paiement est dû dans 15 jours Caisse d'Epargne IBAN: FR12 1234 5678 SWIFT/BIC: ABCDFRP1XXX,fr,0.6772903800010681
