filename,url,description,type,filepath,scraped,old_filename,old_filepath
img_0000000.jpg,https://templates.invoicehome.com/modele-facture-fr-pur-750px.png,100 modèles gratuits de factures | Téléchargement PDF gratuit,facture,./final/img_0000000.jpg,1,img_0000000.jpg,./facture/img_0000000.jpg
img_0000001.jpg,https://templates.invoicehome.com/modele-facture-fr-classique-blanc-750px.png,100 modèles gratuits de factures | Téléchargement PDF gratuit,facture,./final/img_0000001.jpg,1,img_0000001.jpg,./facture/img_0000001.jpg
img_0000002.jpg,https://www.coover.fr/wp-content/uploads/2021/02/modele-facture-proforma-726x1024.png,Facture proforma : modèle à télécharger gratuitement (Mise à jour 2022),facture,./final/img_0000002.jpg,1,img_0000002.jpg,./facture/img_0000002.jpg
img_0000003.jpg,https://templates.invoicehome.com/modele-facture-fr-bande-bleu-750px.png,100 modèles gratuits de factures | Téléchargement PDF gratuit,facture,./final/img_0000003.jpg,1,img_0000003.jpg,./facture/img_0000003.jpg
img_0000004.jpg,https://files.intum.com/v/vosfactures/files/31596/facture-regrouper-ex.png,Base de Connaissances - Vos Factures - Créer une Facture Groupée,facture,./final/img_0000004.jpg,1,img_0000004.jpg,./facture/img_0000004.jpg
img_0000005.jpg,https://templates.invoicehome.com/modele-facture-fr-cool-vagues-750px.png,100 modèles gratuits de factures | Téléchargement PDF gratuit,facture,./final/img_0000005.jpg,1,img_0000005.jpg,./facture/img_0000005.jpg
img_0000006.jpg,https://binaries.templates.cdn.office.net/support/templates/fr-ca/lw34016625.png,Facture de service simple,facture,./final/img_0000006.jpg,1,img_0000006.jpg,./facture/img_0000006.jpg
img_0000007.jpg,https://binaries.templates.cdn.office.net/support/templates/fr-fr/lt02927858_quantized.png,Factures - Office.com,facture,./final/img_0000007.jpg,1,img_0000007.jpg,./facture/img_0000007.jpg
img_0000008.jpg,https://mk0independanti6lhsy.kinstacdn.com/wp-content/uploads/exemple-facture-945x1024.png,Modèle Facture | 100% GRATUIT | Format Excel ou Word à Télécharger,facture,./final/img_0000008.jpg,1,img_0000008.jpg,./facture/img_0000008.jpg
img_0000009.jpg,https://templates.invoicehome.com/modele-facture-fr-dexter-750px.png,100 modèles gratuits de factures | Téléchargement PDF gratuit,facture,./final/img_0000009.jpg,1,img_0000009.jpg,./facture/img_0000009.jpg
img_0000010.jpg,https://www.zervant.com/prod/uploads/2021/09/logiciel-de-facturation-gratuit-facture.png,Logiciel de facturation gratuit - Fonctionnalités - Zervant,facture,./final/img_0000010.jpg,1,img_0000010.jpg,./facture/img_0000010.jpg
img_0000011.jpg,https://www.coover.fr/wp-content/uploads/2019/11/modele-facture-excel.png,Modèle de facture (Mise à jour 2022),facture,./final/img_0000011.jpg,1,img_0000012.jpg,./facture/img_0000012.jpg
img_0000012.jpg,https://www.facture.net/blog/wp-content/uploads/2021/03/facture2.jpg,Délai de facturation : quand faut-il envoyer les factures à ses clients ? -  Facture.net,facture,./final/img_0000012.jpg,1,img_0000013.jpg,./facture/img_0000013.jpg
